X,Y,OBJECTID,id,address,downtown,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,city,state,zipcode,x_coord,y_coord,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,name,gis_id,globalid,url,GlobalID_2
1422522.13823857,591695.5209299,1,1,100 N. Holliday Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422540.36753319,591738.22917668,Designated Landmarks,Downtown,11,24510401001043,1,CENTRAL,18S UJ 61103 50286,Jamie Williams,4103964106,Department of Planning,City Hall,38_1,{D985FB36-CAD1-42B6-B690-4C5E26B87FB1},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,a1df64e7-dbc9-4e17-87fb-16776632d3ad
1420665.77613765,589426.326649409,2,2,112 W. Conway Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1420665.77613802,589426.32664826,Designated Landmarks,Inner Harbor,11,245102201002007,1,CENTRAL,18S UJ 60516 49594,Jamie Williams,4103964106,Department of Planning,Otterbein Church,38_2,{45C5B17C-C0A9-4C85-9336-05D4906B1240},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,b8a0b8a5-7a2a-4291-88a5-c13b6014be61
1425220.65515124,591888.439835389,3,3,1120 E. Baltimore Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1425220.65515161,591888.43983426,Designated Landmarks,Jonestown,12,24510302001013,2,SOUTHEASTERN,18S UJ 61920 50313,Jamie Williams,4103964106,Department of Planning,McKim Free School,38_3,{8F7BDA98-724B-41CE-9EB6-D74952EE83AB},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,08b54976-0210-4dc6-81c2-40542fd6ee82
1421067.99252482,593385.439137975,4,4,2-12 West Franklin Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1421067.99252519,593385.43913684,Designated Landmarks,Mount Vernon,11,245101102002023,1,CENTRAL,18S UJ 60665 50797,Jamie Williams,4103964106,Department of Planning,First Unitarian Church,38_4,{C0354B7A-84F2-41D1-84CF-60E0FFCE0640},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,9611f4b2-09b6-4de0-abf6-3949d0349400
1421235.21364708,587816.726194071,5,5,"18,20-30 W. Montgomery Street",N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21230,1421235.21364744,587816.72619293,Designated Landmarks,Federal Hill,11,245102201004009,9,SOUTHERN,18S UJ 60679 49100,Jamie Williams,4103964106,Department of Planning,Ebenezer A.M.E. Church,38_5,{3A394E2D-4F58-49AF-AFFA-EA9D39B39869},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,d8922508-65e5-4c27-983c-bf9b3df4b89a
1422711.40229575,592119.051578911,6,6,225 N. Holliday Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422711.40229611,592119.05157777,Designated Landmarks,Downtown,11,24510401001026,1,CENTRAL,18S UJ 61157 50401,Jamie Williams,4103964106,Department of Planning,Municipal Museum of Balt (Peale Museum),38_6,{9EC9B5FD-6E7D-4ADE-9A2E-AF2CF05876F0},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,5ce0e850-4a0d-45ab-8abb-961a5c3e4341
1421077.07485573,600379.240767166,7,8,2200 St. Paul Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21218,1421077.0748561,600379.24076601,Designated Landmarks,Charles Village,12,245101206003000,5,NORTHERN,18S UJ 60715 52928,Jamie Williams,4103964106,Department of Planning,Lovely Lane Methodist Church (First Methodist),38_7,{B99C1E9C-1708-404A-AFF2-286A46E3AEA1},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,37340934-807f-4488-8958-c4ade3ad16b2
1425208.54133033,591633.566001324,8,9,11 Lloyd Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1425208.5413307,591633.56600019,Designated Landmarks,Jonestown,12,24510302001014,2,SOUTHEASTERN,18S UJ 61915 50236,Jamie Williams,4103964106,Department of Planning,Lloyd Street Synagogue,38_8,{0444D24E-A801-4629-AAC5-6F737B0A239D},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,2a8c460a-887a-47d0-8e26-b9b66197370c
1417328.7129299,595755.952113458,9,10,1300 Druid Hill Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1417328.71293028,595755.95211234,Designated Landmarks,Upton,11,245101702001007,1,CENTRAL,18S UJ 59542 51545,Jamie Williams,4103964106,Department of Planning,Bethel A.M.E. Church,38_9,{B3F8847D-4C6B-4ADE-B642-945420EE1B6A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,525a0cd6-1a36-4800-bfd6-df361e3f8acf
1418566.64418107,596186.168116592,10,11,313 Dolphin Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1418566.64418145,596186.16811543,Designated Landmarks,Madison Park,11,245101401002012,1,CENTRAL,18S UJ 59922 51668,Jamie Williams,4103964106,Department of Planning,Eutaw Place Baptist Church,38_10,{CB12244B-E116-4D43-98C4-77B0CCED5A17},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,adbdffd5-3402-4719-9330-0b0d1599e2db
1425112.72164007,593110.714949891,11,12,249 Aisquith Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1425112.72164044,593110.71494877,Designated Landmarks,Pleasant View Gardens,12,24510501003001,2,SOUTHEASTERN,18S UJ 61896 50687,Jamie Williams,4103964106,Department of Planning,Eastern Female High School,38_11,{CEECDFC7-EC21-4878-A9BF-8425CDAA38F3},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,0a9f0b9d-b2e0-4cc1-b545-2e1ce1085d75
1421145.30700274,595881.636901475,12,13,1 East Chase Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1421145.30700311,595881.63690035,Designated Landmarks,Mid-Town Belvedere,11,245101102001030,1,CENTRAL,18S UJ 60705 51557,Jamie Williams,4103964106,Department of Planning,Belvedere Hotel,38_12,{03E5089D-103C-411F-B198-D8863CB912A1},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,bf972053-bf5a-4341-96da-5c89ad36b882
1422038.4987859,591681.98322733,13,14,Calvert St. near Fayette Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422038.49878627,591681.98322618,Designated Landmarks,Downtown,11,24510401001035,1,CENTRAL,18S UJ 60949 50272,Jamie Williams,4103964106,Department of Planning,Battle Monument,38_13,{BB97EA19-D045-45FC-B1A2-45A99F214711},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,6a03bd21-6ac4-4ebd-b7c5-2fa4660e9a30
1421317.2699134,592189.744678978,14,15,233 N. Charles Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1421317.26991378,592189.74467785,Designated Landmarks,Downtown,11,24510401001033,1,CENTRAL,18S UJ 60733 50431,Jamie Williams,4103964106,Department of Planning,St. Paul's P.E. Church,38_14,{C019E3F3-CB43-4B7A-9362-4E5527FCFA08},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,63f880ff-b924-4524-8b2b-d39222e647ac
1420908.72709532,592625.552862471,15,16,24 W. Saratoga Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1420908.72709569,592625.55286134,Designated Landmarks,Downtown,11,24510401002019,1,CENTRAL,18S UJ 60611 50567,Jamie Williams,4103964106,Department of Planning,St.Paul's P.E. Church Rectory,38_15,{92A1B420-274C-4202-8A5E-9CF7C9B2691A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,83fe8d66-baf8-484a-9b0b-b7288e477ce4
1410646.46842039,614400.27473289,16,17,4915 Greenspring Ave,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21209,1410646.46842077,614400.27473177,Designated Landmarks,Coldspring,6,245101308051001,5,NORTHERN,18S UJ 57631 57270,Jamie Williams,4103964106,Department of Planning,Cylburn House and Park,38_16,{78C75BF6-9744-4F46-B319-AEDD02356CAF},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,7a8ce5ba-a226-4cc3-a798-6281dd5714e0
1418964.4796715,590396.754826663,17,18,522 W. Lombard Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1418964.47967187,590396.75482551,Designated Landmarks,Inner Harbor,11,24510402002017,1,CENTRAL,18S UJ 60004 49901,Jamie Williams,4103964106,Department of Planning,Davidge Hall,38_17,{3B64622E-609F-4771-8789-AF5AB3AC6A53},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,6be00658-d51a-4872-a342-8ae5a3a25cf4
1416325.53153731,589744.781721162,18,19,Pratt and Poppleton Streets,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21223,1416325.5315377,589744.78172002,Designated Landmarks,Washington Village,9,245102102001002,9,SOUTHERN,18S UJ 59196 49720,Jamie Williams,4103964106,Department of Planning,Mt.Clare Station & Roundhouse,38_18,{E3748D55-4366-4F88-8C84-BCE18670B601},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,0103617d-a275-434e-aa64-31ae50dae54c
1419571.02471825,612919.037865974,19,20,4545 N. Charles Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21210,1419571.02471861,612919.03786484,Designated Landmarks,Loyola/Notre Dame,4,245102711011001,5,NORTHERN,18S UJ 60340 56759,Jamie Williams,4103964106,Department of Planning,Evergreen House,38_19,{8B697AB5-0936-4C33-B654-3B904BC6198A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,de69031d-1428-4301-ad19-847e183b6850
1422266.36906506,591732.49067222,20,21,111 N. Calvert Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422266.36906545,591732.49067109,Designated Landmarks,Downtown,11,24510401001042,1,CENTRAL,18S UJ 61019 50286,Jamie Williams,4103964106,Department of Planning,Old Post Office Building,38_20,{F800E4E7-9B47-474B-B090-40F93968B194},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,dc5e7570-46bf-4dba-8e1c-c21369b3a132
1420143.30835058,605874.559172836,21,22,Johns Hopkins University,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21218,1420143.30835094,605874.55917169,Designated Landmarks,Johns Hopkins Homewood,14,245101202004000,5,NORTHERN,18S UJ 60467 54609,Jamie Williams,4103964106,Department of Planning,Homewood House,38_21,{4D13A088-2E1C-4903-9F00-FA9AAF6B5C15},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,63397ec2-2b01-433a-a523-3add223a4271
1412398.6817795,603923.724819897,22,23,Druid Hill Park,N, ,0,2010/11/16 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1412398.68177986,603923.72481876,Designated Landmarks,Druid Hill Park,11,245101304001000,0,NORTHERN,18S UJ 58095 54067,Jamie Williams,4103964106,Department of Planning,Maryland House, ,{50F94E87-A680-4638-AC3D-F0773768D175},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,65e79912-983c-401e-810e-429cafc6a4cd
1419762.61783898,590609.493574396,23,24,312-318 W. Lombard Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1419762.61783935,590609.49357326,Designated Landmarks,Downtown,11,24510401001069,1,CENTRAL,18S UJ 60249 49960,Jamie Williams,4103964106,Department of Planning,Baltimore Arts Tower (Bromo Seltzer),38_23,{0310EA49-1114-4C75-B84A-BE8B497E969A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,245318a0-1592-4bf8-859d-87203ec1aa2c
1422166.51394982,591101.198299661,24,25,202 E. Redwood Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422166.5139502,591101.19829851,Designated Landmarks,Downtown,11,24510401001055,1,CENTRAL,18S UJ 60984 50094,Jamie Williams,4103964106,Department of Planning,Mercantile Safe Deposit and Trust Building,38_24,{72D908CA-C40C-4763-8B7A-126E09A34736},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,879c27f9-8932-49c3-9794-426e39234fbf
1424594.50351641,590558.888032583,25,26,844 E. Pratt Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1424594.50351678,590558.88803143,Designated Landmarks,Jonestown,12,24510302002007,2,SOUTHEASTERN,18S UJ 61721 49913,Jamie Williams,4103964106,Department of Planning,Star Spangled Banner Flag House,38_25,{9B85DE9E-5BAA-4224-AB98-2843D3670F21},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,c689392e-2e6c-42fd-aa93-b8a70919b486
1425231.8270449,592128.650312983,26,28,1201 E. Fayette Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1425231.82704528,592128.65031185,Designated Landmarks,Jonestown,12,24510302001000,2,SOUTHEASTERN,18S UJ 61925 50387,Jamie Williams,4103964106,Department of Planning,Old Town Friends' Meeting House,38_27,{29FA116C-BA42-42CE-B672-1E3045251D54},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,ac89d6e7-d34f-43f3-9815-3b7327573c15
1418911.13233724,593558.508017575,27,29,600 N. Paca Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1418911.13233762,593558.50801643,Designated Landmarks,Seton Hill,11,245101701002000,1,CENTRAL,18S UJ 60009 50865,Jamie Williams,4103964106,Department of Planning,Mother Seton House,38_28,{781569B8-A008-4C7A-95FC-5766C91FC4FE},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,58e153f8-5327-4ca9-9dfa-7c8522f0d30e
1421100.47999265,594190.014300501,28,30,Charles Street at Monument,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1421100.47999303,594190.01429934,Designated Landmarks,Mount Vernon,11,245101102002011,1,CENTRAL,18S UJ 60680 51042,Jamie Williams,4103964106,Department of Planning,Washington Monument and Mount Vernon Place,38_29,{E922D478-C370-4602-958B-D026F4CDD03A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,6f6d265b-8cbb-4838-9a9a-4f5a80369989
1418937.30190433,591421.258027009,29,31,509-513 W. Fayette Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1418937.30190469,591421.25802585,Designated Landmarks,University Of Maryland,11,24510402002015,1,CENTRAL,18S UJ 60003 50213,Jamie Williams,4103964106,Department of Planning,Westminister Presbyterian Church,38_30,{78559AFD-3187-449A-8CFB-6E560295CC74},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,c84e3145-fc8a-4267-a3c1-d0c0f78d34e1
1420882.84394499,593039.772178415,30,32,401 Cathedral Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1420882.84394535,593039.77217726,Designated Landmarks,Downtown,11,24510401002018,1,CENTRAL,18S UJ 60606 50693,Jamie Williams,4103964106,Department of Planning,Basilica of the Assumption,38_31,{10C24C10-1BA9-4B83-A68E-00300797A695},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,5ca12257-dd92-47c5-9807-9047515460b9
1413711.71130566,590498.920304739,31,33,1524 Hollins Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21223,1413711.71130602,590498.92030359,Designated Landmarks,Union Square,9,245101902001003,9,SOUTHERN,18S UJ 58404 49967,Jamie Williams,4103964106,Department of Planning,H.L. Mencken House,38_32,{A9B796C3-A10E-48BF-93DB-1871737D4FF3},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,25a6dfb4-50b0-428c-ba61-89fac2e499a6
1424014.03420491,591715.436900556,32,34,801 E. Fayette Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1424014.03420527,591715.43689943,Designated Landmarks,Jonestown,12,24510302001005,2,SOUTHEASTERN,18S UJ 61551 50269,Jamie Williams,4103964106,Department of Planning,Shot Tower,38_33,{AE2CAC24-0A5D-4D1E-9F58-341280CB6358},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,fc00970e-1a83-40d1-823c-fe5cafdf7f92
1423764.85294473,591930.85379258,33,36,120 N. Front Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1423764.8529451,591930.85379143,Designated Landmarks,Jonestown,12,24510501001051,2,SOUTHEASTERN,18S UJ 61477 50336,Jamie Williams,4103964106,Department of Planning,St. Vincent De Paul Church,38_34,{2C851462-6004-43AE-A816-944D0E86C343},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,33e25518-a8ef-4538-8616-01e59f53ed56
1420975.6721714,592876.735102899,34,37,7-9 W. Mulberry Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1420975.67217177,592876.73510177,Designated Landmarks,Downtown,11,24510401002017,1,CENTRAL,18S UJ 60634 50643,Jamie Williams,4103964106,Department of Planning,Old Cathedral School,38_35,{2E211CB1-7141-440A-A7CF-5EBF97093139},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,2b6689cf-ab28-4e49-8552-7c40a374a9cf
1416191.07183249,591880.88604474,35,38,203 N. Amity Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21223,1416191.07183287,591880.8860436,Designated Landmarks,Poppleton,11,245101801002004,7,WESTERN,18S UJ 59169 50372,Jamie Williams,4103964106,Department of Planning,Edgar Allan Poe House,38_36,{1ED2C648-DB8E-418C-86B7-591F1C72817F},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,32c57340-dec9-4c01-a42b-243ff9cc5864
1421005.91883007,594041.611710138,36,39,1 W. Mount Vernon Place,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1421005.91883044,594041.61170901,Designated Landmarks,Mount Vernon,11,245101102002014,1,CENTRAL,18S UJ 60651 50998,Jamie Williams,4103964106,Department of Planning,Thomas-Jencks-Gladding-Hackerman House,38_37,{443C0238-F7E6-4DBC-B38B-C588798598AD},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,71df9460-02f4-4e58-b9a1-d490650d40b3
1429160.30278374,602732.428974142,37,40,Clifton Park,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21213,1429160.30278412,602732.42897301,Designated Landmarks,Clifton Park,14,24510801011012,4,NORTHEASTERN,18S UJ 63194 53591,Jamie Williams,4103964106,Department of Planning,Clifton Mansion,38_38,{062CF462-6414-44D1-BD48-B8B78797760D},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,61288d48-b0a1-4fc0-b45c-43789a2dd40f
1415392.38904665,613407.270485331,38,41,4800 Roland Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21210,1415392.38904703,613407.27048417,Designated Landmarks,Roland Park,6,245102714001018,5,NORTHERN,18S UJ 59071 56936,Jamie Williams,4103964106,Department of Planning,Roland Park Shopping Center,38_39,{F328EF4B-0A95-4BB6-85A8-1E56485FAE59},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,6dcc4886-3a5f-41d6-9f08-7785d71341ac
1418929.44660508,593570.370526643,39,42,600 N. Paca Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1418929.44660544,593570.37052552,Designated Landmarks,Seton Hill,11,245101701002000,1,CENTRAL,18S UJ 60015 50868,Jamie Williams,4103964106,Department of Planning,St.Mary's Seminary Chapel,38_40,{1D462C10-0AEC-42F6-AE66-D3B54D8815C9},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,78892534-1843-4dcf-b09d-71612d348186
1425252.66722631,591452.951533165,40,43,15 Lloyd Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1425252.66722669,591452.95153202,Designated Landmarks,Jonestown,12,24510302001015,2,SOUTHEASTERN,18S UJ 61927 50181,Jamie Williams,4103964106,Department of Planning,B'nai Israel Synagogue,38_41,{BAFFCFE5-5B2E-4EA8-B907-CEE25F7B5355},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,e0c88488-d81f-4a95-9f99-714969b15772
1426324.02269516,594001.077014328,41,44,525 N. Caroline Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21287,1426324.02269553,594001.07701318,Designated Landmarks,Dunbar-Broadway,12,24510605001000,3,EASTERN,18S UJ 62271 50950,Jamie Williams,4103964106,Department of Planning,First Baptist Church,38_42,{C7A228B7-E76F-4ABD-A244-87883489993A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,14b6e37e-ddd0-41e4-a32b-8472506d9340
1413751.30473041,596969.958215669,42,45,1373 N. Stricker Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1413751.30473077,596969.95821452,Designated Landmarks,Sandtown-Winchester,7,245101501003005,7,WESTERN,18S UJ 58460 51939,Jamie Williams,4103964106,Department of Planning,Sharon Baptist Church,38_43,{36C82648-7CC3-415A-8EF7-72EE10643446},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,a76cad5b-0bae-4f80-8415-8707b0e579f1
1431843.34597407,617957.739402724,43,46,Hillen Road (SW of Club House),N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21239,1431843.34597445,617957.7394016,Designated Landmarks,Mt Pleasant Park,4,245102708031002,4,NORTHEASTERN,18S UJ 64114 58212,Jamie Williams,4103964106,Department of Planning,Taylor's Chapel and Burial Ground,38_44,{98A6F76E-0B3C-4F59-A18D-8EB2372FC143},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,7769c960-c9aa-4957-8736-cb720f36147d
1422813.73312783,592032.244337812,44,47,140-246 N. Gay Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422813.73312819,592032.24433668,Designated Landmarks,Downtown,11,24510401001026,1,CENTRAL,18S UJ 61188 50373,Jamie Williams,4103964106,Department of Planning,Zion Lutheran Church and Parish House,38_45,{206D2E1F-B50C-4910-A953-054A80A783AE},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,3f18a78e-ec0b-4ebd-b6f2-0ea1fdef86a1
1422535.50008848,591031.198767749,45,48,19-21 South Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422535.50008886,591031.1987666,Designated Landmarks,Downtown,11,24510401001054,1,CENTRAL,18S UJ 61096 50070,Jamie Williams,4103964106,Department of Planning,Furness House,38_46,{FC13E7F5-8782-411C-A654-ED0374CEBAA4},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,c2e95944-7641-448e-bd1b-d76a434449eb
1421258.72344258,600867.639068573,46,49,2313 St. Paul Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21218,1421258.72344294,600867.63906744,Designated Landmarks,Barclay,12,245101204001007,5,NORTHERN,18S UJ 60774 53076,Jamie Williams,4103964106,Department of Planning,Goucher House,38_47,{30E69DFD-AE1E-4FB1-9955-6B30C131346B},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,54445383-f5de-47e1-88f2-65a3143c1aae
1422988.53264699,590737.441809345,47,50,40 S. Gay Street,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1422988.53264736,590737.44180819,Designated Landmarks,Downtown,11,24510401001087,1,CENTRAL,18S UJ 61232 49978,Jamie Williams,4103964106,Department of Planning,United States Customs House,38_48,{2B22F521-E4CF-466E-98BE-DDC97AC5C099},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,fa50a655-d751-4240-95a7-fea81ce16f11
1421095.92947682,597767.120663344,48,51,1525 N. Charles Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1421095.92947718,597767.12066218,Designated Landmarks,Charles North,12,245101205004015,1,CENTRAL,18S UJ 60703 52132,Jamie Williams,4103964106,Department of Planning,Pennsylvania Station,38_49,{F5105C4B-1ABE-4E4F-87A8-98E035AE592E},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,a88ce3bf-2b55-4f76-9c4a-009d97a21ea5
1419414.52306274,608371.007263919,49,52,104 W. 39th Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21210,1419414.52306311,608371.00726276,Designated Landmarks,Tuscany-Canterbury,14,245101201003007,5,NORTHERN,18S UJ 60262 55374,Jamie Williams,4103964106,Department of Planning,Ascot House (Razed 1981),38_50,{F0FDA91C-86AE-44EF-9A3A-6A250BDB6403},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,22b25fd6-c88b-4a01-a824-91aff8239af2
1418534.75973041,589814.283222582,50,53,216 Emory Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21230,1418534.75973077,589814.28322143,Designated Landmarks,Ridgely's Delight,11,245102201001007,9,SOUTHERN,18S UJ 59869 49726,Jamie Williams,4103964106,Department of Planning,Babe Ruth House,38_51,{3944C145-8915-4387-AC11-12D04835ED5B},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,b1312238-411d-4bf7-bafc-40a366521662
